iter	Passed	Remaining
471	652	730
472	653	728
473	654	726
474	654	723
475	655	721
476	656	719
477	656	717
478	657	715
479	658	713
480	659	711
481	659	709
482	660	707
483	661	705
484	662	703
485	663	701
486	663	699
487	664	697
488	665	695
489	665	693
490	666	691
491	667	689
492	668	687
493	669	685
494	669	683
495	670	681
496	671	679
497	672	677
498	672	675
499	673	673
500	674	671
501	675	670
502	676	668
503	677	666
504	678	664
505	679	663
506	680	661
507	680	659
508	681	657
509	682	656
510	683	654
511	684	652
512	685	650
513	686	648
514	687	647
515	687	645
516	688	643
517	689	641
518	690	640
519	691	638
520	692	637
521	693	635
522	694	633
523	695	631
524	696	630
525	697	628
526	697	626
527	698	624
528	699	622
529	700	620
530	700	619
531	701	617
532	702	615
533	702	613
534	703	611
535	704	609
536	705	607
537	705	606
538	706	604
539	707	602
540	708	600
541	709	599
542	709	597
543	710	595
544	711	594
545	712	592
546	712	590
547	713	588
548	714	586
549	715	585
550	715	583
551	716	581
552	717	579
553	718	578
554	718	576
555	719	574
556	720	573
557	721	571
558	722	569
559	722	567
560	723	566
561	724	564
562	725	562
563	725	561
564	726	559
565	727	557
566	727	555
567	728	554
568	729	552
569	730	550
570	731	549
571	731	547
572	732	545
573	733	544
574	734	542
575	735	541
576	735	539
577	736	537
578	737	536
579	738	534
580	738	532
581	739	531
582	740	529
583	740	527
584	741	525
585	742	524
586	742	522
587	743	520
588	744	519
589	744	517
590	745	516
591	746	514
592	747	512
593	747	511
594	748	509
595	749	507
596	750	506
597	750	504
598	751	503
599	752	501
600	752	499
601	753	498
602	754	496
603	755	495
604	755	493
605	756	491
606	757	490
607	758	488
608	758	487
609	759	485
610	760	484
611	761	482
612	762	481
613	763	479
614	764	478
615	765	477
616	766	475
617	767	474
618	768	472
619	769	471
620	769	469
621	770	468
622	771	466
623	772	465
624	773	463
625	774	462
626	774	460
627	775	459
628	776	458
629	777	456
630	778	455
631	779	453
632	780	452
633	781	451
634	782	449
635	783	448
636	784	447
637	785	445
638	786	444
639	787	442
640	788	441
641	789	440
642	790	439
643	791	437
644	792	436
645	793	434
646	794	433
647	795	432
648	796	430
649	797	429
650	798	428
651	799	426
652	800	425
653	801	424
654	802	422
655	803	421
656	804	419
657	805	418
658	805	417
659	806	415
660	807	414
661	808	412
662	809	411
663	809	409
664	810	408
665	811	407
666	812	405
667	813	404
668	813	402
669	814	401
670	815	399
671	816	398
672	816	396
673	817	395
674	818	394
675	819	392
676	820	391
677	821	389
678	821	388
679	822	387
680	823	385
681	824	384
682	825	382
683	826	381
684	827	380
685	828	379
686	829	377
687	829	376
688	830	374
689	831	373
690	832	372
691	833	370
692	834	369
693	835	368
694	836	366
695	837	365
696	838	364
697	839	363
698	840	361
699	841	360
700	842	359
701	842	357
702	844	356
703	844	355
704	846	354
705	847	352
706	848	351
707	849	350
708	850	349
709	851	347
710	852	346
711	853	345
712	854	344
713	856	342
714	857	341
715	858	340
716	859	339
717	860	337
718	861	336
719	862	335
720	863	334
721	864	332
722	865	331
723	866	330
724	868	329
725	869	328
726	870	326
727	871	325
728	872	324
729	873	323
730	874	321
731	875	320
732	876	319
733	877	318
734	878	316
735	879	315
736	881	314
737	881	313
738	882	311
739	883	310
740	884	309
741	885	308
742	886	306
743	888	305
744	889	304
745	890	303
746	891	301
747	892	300
748	893	299
749	894	298
750	895	296
751	896	295
752	896	294
753	897	292
754	898	291
755	899	290
756	900	288
757	901	287
758	902	286
759	903	285
760	903	283
761	904	282
762	905	281
763	906	280
764	907	278
765	908	277
766	909	276
767	910	275
768	911	273
769	912	272
770	913	271
771	914	270
772	915	268
773	915	267
774	916	266
775	917	264
776	918	263
777	919	262
778	919	260
779	920	259
780	921	258
781	922	257
782	922	255
783	923	254
784	924	253
785	925	251
786	926	250
787	927	249
788	927	248
789	928	246
790	929	245
791	930	244
792	931	243
793	932	241
794	932	240
795	933	239
796	934	238
797	935	236
798	936	235
799	937	234
800	938	233
801	939	231
802	940	230
803	940	229
804	941	228
805	942	226
806	943	225
807	943	224
808	944	223
809	945	221
810	946	220
811	946	219
812	947	217
813	948	216
814	949	215
815	950	214
816	951	213
817	951	211
818	952	210
819	953	209
820	954	208
821	955	206
822	955	205
823	956	204
824	957	203
825	958	201
826	958	200
827	959	199
828	960	198
829	961	196
830	962	195
831	962	194
832	963	193
833	964	191
834	965	190
835	966	189
836	967	188
837	967	187
838	968	185
839	969	184
840	969	183
841	970	182
842	971	180
843	972	179
844	972	178
845	973	177
846	974	175
847	975	174
848	976	173
849	976	172
850	977	171
851	978	169
852	979	168
853	980	167
854	981	166
855	981	165
856	982	163
857	983	162
858	984	161
859	984	160
860	985	159
861	986	157
862	987	156
863	987	155
864	988	154
865	989	153
866	990	151
867	990	150
868	991	149
869	992	148
870	993	147
871	994	145
872	995	144
873	995	143
874	996	142
875	997	141
876	998	140
877	999	138
878	999	137
879	1000	136
880	1001	135
881	1001	134
882	1002	132
883	1003	131
884	1004	130
885	1004	129
886	1005	128
887	1006	126
888	1007	125
889	1007	124
890	1008	123
891	1009	122
892	1010	121
893	1010	119
894	1011	118
895	1012	117
896	1013	116
897	1013	115
898	1014	113
899	1014	112
900	1015	111
901	1016	110
902	1017	109
903	1017	108
904	1018	106
905	1019	105
906	1020	104
907	1020	103
908	1021	102
909	1022	101
910	1023	99
911	1024	98
912	1025	97
913	1025	96
914	1026	95
915	1027	94
916	1027	93
917	1028	91
918	1029	90
919	1030	89
920	1031	88
921	1031	87
922	1032	86
923	1033	84
924	1033	83
925	1034	82
926	1035	81
927	1036	80
928	1036	79
929	1037	78
930	1038	76
931	1039	75
932	1040	74
933	1041	73
934	1041	72
935	1042	71
936	1043	70
937	1044	69
938	1044	67
939	1045	66
940	1046	65
941	1047	64
942	1047	63
943	1048	62
944	1049	61
945	1050	59
946	1050	58
947	1051	57
948	1051	56
949	1052	55
950	1053	54
951	1054	53
952	1055	52
953	1055	50
954	1056	49
955	1057	48
956	1057	47
957	1058	46
958	1059	45
959	1059	44
960	1060	43
961	1061	41
962	1061	40
963	1062	39
964	1063	38
965	1064	37
966	1065	36
967	1066	35
968	1066	34
969	1067	33
970	1068	31
971	1069	30
972	1069	29
973	1070	28
974	1071	27
975	1072	26
976	1072	25
977	1073	24
978	1074	23
979	1075	21
980	1076	20
981	1076	19
982	1077	18
983	1078	17
984	1079	16
985	1079	15
986	1080	14
987	1081	13
988	1082	12
989	1083	10
990	1084	9
991	1085	8
992	1086	7
993	1086	6
994	1087	5
995	1088	4
996	1089	3
997	1092	2
998	1093	1
999	1094	0
